Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,3660.0,3660.0,3660.0,3660.0,2988.87841796875,0.0
2019-01-02,3610.0,3640.0,3590.0,3610.0,2948.047119140625,74945100.0
2019-01-03,3580.0,3640.0,3580.0,3620.0,2956.212890625,93458300.0
2019-01-04,3620.0,3660.0,3610.0,3660.0,2988.87841796875,114459600.0
2019-01-07,3700.0,3710.0,3660.0,3660.0,2988.87841796875,74641100.0
2019-01-08,3660.0,3680.0,3630.0,3680.0,3005.21142578125,81361900.0
2019-01-09,3710.0,3740.0,3690.0,3720.0,3037.87646484375,119390300.0
2019-01-10,3740.0,3750.0,3710.0,3750.0,3062.375732421875,141926800.0
2019-01-11,3760.0,3770.0,3700.0,3730.0,3046.04296875,107861300.0
2019-01-14,3730.0,3790.0,3730.0,3790.0,3095.041015625,115067500.0
2019-01-15,3770.0,3790.0,3740.0,3780.0,3086.874267578125,140860200.0
2019-01-16,3790.0,3800.0,3760.0,3780.0,3086.874267578125,103772600.0
2019-01-17,3790.0,3840.0,3780.0,3810.0,3111.373779296875,119859400.0
2019-01-18,3850.0,3850.0,3790.0,3820.0,3119.539794921875,96096600.0
2019-01-21,3800.0,3830.0,3800.0,3800.0,3103.20751953125,80926000.0
2019-01-22,3770.0,3790.0,3740.0,3770.0,3078.70849609375,119687600.0
2019-01-23,3760.0,3810.0,3730.0,3770.0,3078.70849609375,163458700.0
2019-01-24,3750.0,3810.0,3750.0,3790.0,3095.041015625,176166500.0
2019-01-25,3820.0,3820.0,3780.0,3780.0,3086.874267578125,127141300.0
2019-01-28,3750.0,3790.0,3750.0,3780.0,3086.874267578125,93581100.0
2019-01-29,3780.0,3820.0,3650.0,3690.0,3013.37744140625,187613500.0
2019-01-30,3700.0,3760.0,3700.0,3750.0,3062.375732421875,144747500.0
2019-01-31,3800.0,3870.0,3800.0,3850.0,3144.038818359375,252448500.0
2019-02-01,3880.0,3930.0,3870.0,3920.0,3201.203125,140105900.0
2019-02-04,3950.0,3950.0,3890.0,3900.0,3184.87060546875,75955600.0
2019-02-05,3900.0,3900.0,3900.0,3900.0,3184.87060546875,0.0
2019-02-06,3920.0,3940.0,3910.0,3920.0,3201.203125,78073900.0
2019-02-07,3930.0,3930.0,3890.0,3930.0,3209.36962890625,82938300.0
2019-02-08,3860.0,3910.0,3850.0,3890.0,3176.7041015625,78473000.0
2019-02-11,3890.0,3920.0,3860.0,3870.0,3160.37158203125,55587600.0
2019-02-12,3900.0,3900.0,3820.0,3850.0,3144.038818359375,94961400.0
2019-02-13,3890.0,3890.0,3780.0,3790.0,3095.041015625,108181100.0
2019-02-14,3820.0,3850.0,3750.0,3800.0,3103.20751953125,119542400.0
2019-02-15,3840.0,3840.0,3750.0,3770.0,3078.70849609375,87738200.0
2019-02-18,3790.0,3860.0,3790.0,3840.0,3135.872802734375,93662400.0
2019-02-19,3900.0,4000.0,3880.0,3910.0,3193.036865234375,139946000.0
2019-02-20,3910.0,3940.0,3860.0,3890.0,3176.7041015625,124066500.0
2019-02-21,3830.0,3940.0,3830.0,3910.0,3193.036865234375,114540900.0
2019-02-22,3860.0,3910.0,3860.0,3900.0,3184.87060546875,81700600.0
2019-02-25,3940.0,3970.0,3900.0,3960.0,3233.868896484375,106730500.0
2019-02-26,3960.0,3970.0,3910.0,3940.0,3217.535888671875,61418800.0
2019-02-27,3910.0,3920.0,3850.0,3870.0,3160.37158203125,88062100.0
2019-02-28,3850.0,3870.0,3840.0,3850.0,3144.038818359375,106492300.0
